Name,Artist,Album,Genre,Charter,Year,songlength
Cumberland Blues,The Grateful Dead,Workingman's Dead,Classic Rock,Harmonix,1970,197747
Uncle John's Band,The Grateful Dead,Workingman's Dead,Classic Rock,Harmonix,1970,286580
American Woman,The Guess Who,American Woman,Classic Rock,Harmonix,1970,240375
American Woman,The Guess Who,American Woman,Classic Rock,Harmonix,1970,249792
American Woman,The Guess Who,American Woman,Classic Rock,Neversoft,1970,246245
Hand Me Down World,The Guess Who,Share the Land,Classic Rock,Harmonix,1970,213769
Magic Bus (Live at Leeds),The Who,Live at Leeds,Classic Rock,Harmonix,1970,450288
My Generation (Live at Leeds),The Who,Live at Leeds,Classic Rock,Harmonix,1970,251147
Who Are You,The Who,Who Are You,Classic Rock,Harmonix,1970,315162
All Right Now,Free,Fire and Water,Hard Rock,Vicarious Visions,1970,287427
Rock and Roll Hoochie Koo,Rick Derringer (WaveGroup),Johnny Winter And,Hard Rock,Harmonix,1970,224890
Iron Man,Black Sabbath (WaveGroup),Paranoid,Heavy Metal,Harmonix,1970,250951
Iron Man,Black Sabbath (WaveGroup),Paranoid,Heavy Metal,Harmonix,1970,250951
War Pigs,Black Sabbath (WaveGroup),Paranoid,Heavy Metal,Harmonix,1970,460763
Black Magic Woman,Santana (WaveGroup),Abraxas,Latin Rock,Vicarious Visions,1970,324734
I Think I Love You,The Partridge Family,The Patridge Family Album,Pop-Rock,Sygenysis + Nunchuck,1970,176287
ABC,Jackson 5,ABC,R&B,Neversoft,1970,197464
I Saw Mommy Kissing Santa Claus,The Jackson 5,Jackson 5 Christmas Album,R&B,DeepFriedDVD,1970,300000
I Saw Mommy Kissing Santa Claus,The Jackson 5,Jackson 5 Christmas Album,R&B,DeepFriedDVD,1970,300000
"Super Bad, Pts. 1 & 2",James Brown,20 All-Time Greatest Hits,R&B/Soul/Funk,Harmonix,1970,309125
Good Vibrations (Live),The Beach Boys,Live at Leeds,Rock,Harmonix,1970,224000
Have You Ever Seen the Rain?,Creedence Clearwater Revival,Pendulum,Southern Rock,Harmonix,1970,162061
Up Around the Bend,Creedence Clearwater Revival,Cosmo's Factory,Southern Rock,Neversoft,1970,182569
Midnight Rider,The Allman Brothers Band,Idlewild South,Southern Rock,Harmonix,1970,185682
American Pie,Don McLean,American Pie,Classic Rock,Harmonix,1971,516278
American Pie,Don McLean,American Pie,Classic Rock,Neversoft,1971,519989
Aqualung,Jethro Tull,Aqualung,Classic Rock,Neversoft,1971,399199
Angel,Jimi Hendrix,The Cry of Love,Classic Rock,Harmonix,1971,270002
Dolly Dagger,Jimi Hendrix,Rainbow Bridge,Classic Rock,Harmonix,1971,284250
Freedom,Jimi Hendrix,The Cry of Love,Classic Rock,Harmonix,1971,209719
Happy Xmas (War is Over),"John & Yoko, The Plastic Ono Band",Happy Xmas (War is Over),Classic Rock,Harmonix,1971,214462
Crippled Inside,John Lennon,Imagine,Classic Rock,Harmonix,1971,232000
Gimme Some Truth,John Lennon,Imagine,Classic Rock,Harmonix,1971,196363
How Do You Sleep?,John Lennon,Imagine,Classic Rock,Harmonix,1971,334761
How?,John Lennon,Imagine,Classic Rock,Harmonix,1971,224853
Imagine,John Lennon,Imagine,Classic Rock,Harmonix,1971,186788
It's So Hard,John Lennon,Imagine,Classic Rock,Harmonix,1971,150000
Jealous Guy,John Lennon,Imagine,Classic Rock,Harmonix,1971,259656
Oh My Love,John Lennon,Imagine,Classic Rock,Harmonix,1971,168882
Cosmic Dancer,T. Rex,Electric Warrior,Classic Rock,Harmonix,1971,273963
Jeepster,T. Rex,Electric Warrior,Classic Rock,Harmonix,1971,256729
The Seeker,The Who (Steve Ouimette),Meaty Beaty Big & Bouncy,Classic Rock,Neversoft,1971,212481
Move Over,Janis Joplin,Pearl,classicrock,"Harmonix, Rhythm Authors",1971,223602
Long Cool Woman (In a Black Dress),The Hollies,Distant Light,classicrock,"Harmonix, Rhythm Authors",1971,203473
The Seeker,The Who,Meaty Beaty Big and Bouncy,classicrock,Unknown Charter,1971,201072
"Take Me Home, Country Roads",John Denver,"Poems, Prayers & Promises",country,Unknown Charter,1971,196004
Mambo Sun,T. Rex,Electric Warrior,glam,Unknown Charter,1971,225909
Bang a Gong,T. Rex (WaveGroup),Electric Warrior,Glam,Harmonix,1971,275669
Children of the Grave,Black Sabbath,Master of Reality,Metal,Neversoft,1971,279399
Don't Pull Your Love (Out),"Hamilton, Joe Frank & Reynolds",Greatest Hits,Pop-Rock,Oddbrother,1971,169152
Aqualung,Jethro Tull,Aqualung,Progressive,Harmonix,1971,398802
Hymn 43,Jethro Tull,Aqualung,Progressive,Harmonix,1971,200711
Roundabout,Yes,Fragile,Progressive,Harmonix,1971,518266
Angel,Jimi Hendrix,The Cry of Love,Psychedelic Rock,Neversoft,1971,271845
Freedom,Jimi Hendrix,The Cry of Love,Psychedelic Rock,Neversoft,1971,213757
September,Earth Wind & Fire,Earth Wind & Wire,R&B,DeepFriedDVD,1971,215434
Can't You Hear Me Knockin',The Rolling Stones (WaveGroup),Sticky Fingers,Rock,Harmonix,1971,271124
Can't You Hear Me Knockin' (Co-op),The Rolling Stones (WaveGroup),Sticky Fingers,Rock,Harmonix,1971,271124
School's Out,Alice Cooper (WaveGroup),School's Out,Classic Rock,Neversoft,1972,207000
Highway Star,Deep Purple,Machine Head,Classic Rock,Harmonix,1972,369125
Smoke on the Water,Deep Purple,Machine Head,Classic Rock,Harmonix,1972,353221
Do It Again,Steely Dan,Can't Buy a Thrill,Classic Rock,Neversoft,1972,366953
Chest Fever (Live),The Band,Rock of Ages,Classic Rock,Harmonix,1972,302138
Listen to the Music,The Doobie Brothers,Toulouse Street,Classic Rock,Harmonix,1972,250504
Everybody's Gotta Live,Arthur Lee,Vindicator,classicrock,Unknown Charter,1972,229762
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,classicrock,"Harmonix, Rhythm Authors",1972,175578
Reelin' in the Years,Steely Dan,Can't Buy a Thrill,classicrock,Unknown Charter,1972,267716
Ride a White Swan,T. Rex,Bolan Boogie,Glam,Harmonix,1972,147187
Ziggy Stardust,David Bowie (WaveGroup),The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Glam Rock,Harmonix,1972,256657
Ziggy Stardust,David Bowie (WaveGroup),The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Glam Rock,Harmonix,1972,256657
All the Young Dudes,Mott the Hoople (WaveGroup),All the Young Dudes,Glam Rock,Neversoft,1972,295310
All the Young Dudes,Mott the Hoople (WaveGroup),All the Young Dudes,Glam Rock,Neversoft,1972,295310
Make It,Aerosmith,Aerosmith,Hard Rock,Neversoft,1972,225000
Make It,Aerosmith,Aerosmith,Hard Rock,Neversoft,1972,225000
Mama Kin,Aerosmith,Aerosmith,Hard Rock,Neversoft,1972,277291
Mama Kin,Aerosmith,Aerosmith,Hard Rock,Neversoft,1972,277291
Cities On Flame with Rock & Roll,Blue Oyster Cult (WaveGroup),Blue Oyster Cult,Hard Rock,Neversoft,1972,248733
Smoke On the Water,Deep Purple (WaveGroup),Machine Head,Hard Rock,Harmonix,1972,361393
Smoke On The Water,Deep Purple (WaveGroup),Machine Head,Hard Rock,Harmonix,1972,361394
Smoke On The Water,Deep Purple (WaveGroup),Machine Head,Hard Rock,Harmonix,1972,361394
Frankenstein,The Edgar Winter Group (WaveGroup),They Only Come Out at Night,Instrumental Rock,Harmonix,1972,256947
Frankenstein,The Edgar Winter Group (WaveGroup),They Only Come Out at Night,Instrumental Rock,Harmonix,1972,256947
Free Ride,The Edgar Winter Group,They Only Come Out at Night,Pop Rock,Vicarious Visions,1972,205932
Lean on Me,Bill Withers,Still Bill,R&B/Soul/Funk,"AJFOne23, BornGamerRob, bsbloom",1972,268967
Lean on Me,Bill Withers,Still Bill,rbsoulfunk,Unknown Charter,1972,268967
Space Truckin',Deep Purple,Machine Head,Rock,Neversoft,1972,270750
Lean on Me,Bill Withers,Still Bill,Soul,Haggis,1972,260079
Blue Sky,The Allman Brothers Band,Eat a Peach,Southern Rock,Harmonix,1972,319657
Blue Sky,The Allman Brothers Band,Eat a Peach,Southern Rock,Harmonix,1972,319626
China Grove,The Doobie Brothers,The Captain and Me,Boogie Rock,Vicarious Visions,1973,196486
Piano Man,Billy Joel,Piano Man,Classic Rock,Harmonix,1973,339625
Crocodile Rock,Elton John,Don't Shoot Me I'm Only the Piano Player,Classic Rock,Harmonix,1973,222970
Crocodile Rock,Elton John,Don't Shoot Me I'm Only the Piano Player,Classic Rock,Harmonix,1973,222970
Saturday Night's Alright for Fighting,Elton John,Goodbye Yellow Brick Road,Classic Rock,Harmonix,1973,303304
Radar Love,Golden Earring,Moontan,Classic Rock,Harmonix,1973,386009
We're an American Band,Grand Funk Railroad,We're an American Band,Classic Rock,Harmonix,1973,210240
Piece of My Heart,Janis Joplin,Janis Joplin's Greatest Hits,Classic Rock,Harmonix,1973,270014
