Name,Artist,Album,Genre,Charter,Year,songlength
The Devil's in the Details,Aesthetic Perfection,The Devil's in the Details,Pop/Dance/Electronic,Unknown Charter,2011,242361
Crusader,AFD Shift,Crusader,Hip-Hop/Rap,Unknown Charter,2007,171126
Dancing Through Sunday,AFI,Sing the Sorrow,Rock,Neversoft,2003,150799
Miss Murder,AFI,Decemberunderground,Alternative,Neversoft,2006,208000
Carcinogen Crush,AFI,Carcinogen Crush (Single),Alternative,Neversoft,2007,174489
Carcinogen Crush,AFI,Carcinogen Crush (Single),Alternative,Neversoft,2007,174489
Far Too Near,AFI,Bodies,rock,"Harmonix, Rhythm Authors",2021,172173
New Wave,Against Me!,New Wave,Punk Rock,Neversoft,2007,217446
Running with the Wild Things,Against the Current,In Our Bones,poprock,"Harmonix, Rhythm Authors",2016,225768
good guy,Against The Current,good guy,Pop Rock,"Mathys, xDTrammell",2023,207401
Take on Me,a-ha,Hunting High and Low,New Wave,Harmonix,1985,234624
He's a Family Guy - Jet Set Radio Evolution,Ahmaykmewsik,Jet Set Radio Evolution OST,video game ost,Creeel,2020,200560
Boss Battle Fusion Collab,Ahmaykmewsik's Dream Team,SiIvaGunner's Highest Quality Rips: Volume AI,Mashup,thesandersdeath,2019,443067
Scavengers of the Damned,Aiden,Knives,Punk,Unknown Charter,2009,166227
Broken Bones,Aiden,Some Kind of Hate,Punk,Unknown Charter,2011,190343
Hysteria,Aiden,Disguises,Rock,Unknown Charter,2011,225511
Koi wo Shita no wa,Aiko,Koi wo Shita no wa,J-Pop,Parzi,2018,358147
"Too Much, Too Young, Too Fast",Airbourne,Runnin' Wild,Hard Rock,Neversoft,2007,232780
Filthy Dog,Aittala,Bed of Thorns,Metal,Unknown Charter,2009,214153
Numb,Aittala,Bed of Thorns,Metal,Unknown Charter,2009,250374
Sober Up (ft. Rivers Cuomo),AJR,The Click,poprock,"Harmonix, Rhythm Authors",2017,222580
Birthday Party,AJR,Neotheater,hiphoprap,Unknown Charter,2019,226790
100 Bad Days,AJR,Neotheater,poprock,"Harmonix, Rhythm Authors",2019,213332
Bang!,AJR,Bang!,poprock,"Harmonix, Rhythm Authors",2020,173999
3 O'Clock Things,AJR,OK Orchestra,Alternative,TheOGMachine,2021,230678
3 O'Clock Things (Bass Overchart),AJR,OK Orchestra,Alternative,TheOGMachine,2021,230678
Bang!,AJR,OK Orchestra,Alternative Pop,Sanic Studios,2021,172170
World's Smallest Violin,AJR,OK Orchestra,Alternative/Indie,Peridot Champion,2021,180883
World's Smallest Violin,AJR,AJR,Pop,Fallse,2021,276942
Way Less Sad,AJR,OK Orchestra,poprock,Unknown Charter,2021,211711
Ultimate Battle,Akira Kushida,Ultimate Battle,Anime,RAILSONXGAMER,2018,280230
Steven Wells (He Was the Greatest),Akira The Don,ATD 19: The Steven Wells Mixtape,Punk,Unknown Charter,2009,204975
Crescent Moon Dance (Kitauji High School Concert Band Ver.),Akito Matsuda,Sound! Euphonium Original Soundtrack: Memories of Music,Classical,Mathys,2015,407538
Beautiful,Akon,Freedom,Pop,Unknown Charter,2008,313532
Right Now (Na Na Na),Akon,Freedon,Pop,Unknown Charter,2008,240746
Don't Wanna Fight,Alabama Shakes,Sound & Color,southernrock,"Harmonix, Rhythm Authors",2015,234090
You Oughta Know,Alanis Morissette,Jagged Little Pill,Pop/Rock,Harmonix,1995,254790
Do You Like Waffles?,Albino Black Sheep,Single,Rock,KMDK,2008,30999
Bleeder,Alchemilla,Chasing Ghosts,Rock,Unknown Charter,2010,193872
Me Dediqué A Perderte,Alejandro Fernández,A Corazón Abierto,Pop,"RaiderG, Henry13Hdz",2004,235392
Ben 10 (Latino),Alejandro Urban,Ben 10,novelty,"Henry13Hdz, ZepyrRX, Pro Strings: Aloquendiar",2005,61137
Captain Morgan's Revenge,Alestorm,Captain Morgan's Revenge,Pirate Metal,DeepFriedDVD,2008,402093
Keelhauled,Alestorm,Black Sails at Midnight,Pirate Metal,DeepFriedDVD,2009,229134
Pirate Song,Alestorm,Black Sails at Midnight,Pirate Metal,DeepFriedDVD,2009,242927
Death Throes of the Terrorsquid (Live),Alestorm,Live at the End of the World,Pirate Metal,DeepFriedDVD,2013,586071
Fucked With an Anchor,Alestorm,No Grave But the Sea,Pirate Metal,DeepFriedDVD,2017,231502
Mexico,Alestorm,No Grave but the Sea,Pirate Metal,DeepFriedDVD,2017,214459
Pirate Pizza Party,Alestorm,No Grave but the Sea,Pirate Metal,DeepFriedDVD,2017,99915
Treasure Chest Party Quest,Alestorm,Curse of the Crystal Coconut,Pirate Metal,DeepFriedDVD,2020,283306
Magnetic Telephone,Alestorm ft. Lady Gaga,Sunset on the Golden Age,Pirate Metal,DeepFriedDVD,2014,227741
Burn,Alexis Munroe,Burn,rock,"Harmonix, Rhythm Authors",2023,305000
Young Cardinals,Alexisonfire,Old Crows / Young Cardinals,Post-Hardcore,Neversoft,2009,229330
Broken,Alfie Templeman,Mellow Moon,popdanceelectronic,"Harmonix, Rhythm Authors",2022,197645
Lost In Paradise,ALI (feat AKLO),Unknown Album,jazz,Unknown Charter,2020,330000
Top Back,Alias Unknown,Unknown Album,urban,Unknown Charter,2009,244656
Elected,Alice Cooper,Billion Dollar Babies,Heavy Metal,Neversoft,1973,248794
No More Mr. Nice Guy,Alice Cooper,Billion Dollar Babies,rock,Unknown Charter,1973,190229
Poison,Alice Cooper,Trash,Heavy Metal,Neversoft,1989,278066
Feed My Frankenstein,Alice Cooper,Hey Stoopid,rock,Unknown Charter,1991,276695
Billion Dollar Babies (Live),Alice Cooper,Classicks,Rock,Harmonix,1995,217458
Under My Wheels (Live),Alice Cooper,Classicks,Rock,Harmonix,1995,214827
Vengeance is Mine,Alice Cooper,Along Came a Spider,Rock,Harmonix,2008,272702
No More Mr. Nice Guy,Alice Cooper,Billion Dollar Babies,Classic Rock,Neversoft,2010,197666
School's Out,Alice Cooper (WaveGroup),School's Out,Classic Rock,Neversoft,1972,207000
Billion Dollar Babies,Alice Cooper (WaveGroup),Billion Dollar Babies,Hard Rock,Harmonix,1973,219666
Down in a Hole,Alice in Chains,Dirt,grunge,"Harmonix, Rhythm Authors",1992,342527
Them Bones,Alice in Chains,Dirt,grunge,Unknown Charter,1992,153333
No Excuses,Alice In Chains,Jar of Flies,Grunge,Neversoft,1994,261711
Last of My Kind,Alice in Chains,Black Gives Way to Blue,Grunge,Harmonix,2009,351187
Them Bones,Alice in Chains (WaveGroup),Dirt,Alternative Metal,Harmonix,1992,162353
My Boo,Alicia Keys & USHER,Confessions,rbsoulfunk,Unknown Charter,2004,226684
Smooth Criminal,Alien Ant Farm,ANThology,Alternative Rock,Vicarious Visions,2001,209639
Smooth Criminal,Alien Ant Farm,ANThology,Rock,Harmonix,2001,209298
